n_trees,fold,accuracy
50,1,0.7056538486648821
50,2,0.7042290303099548
50,3,0.70656307637064
50,4,0.7073138883901611
50,5,0.706432500367245
100,1,0.7071391264607952
100,2,0.7056164003460265
100,3,0.7052736383371147
100,4,0.7072159563876149
100,5,0.7058122643511189
150,1,0.7073676307370895
150,2,0.7059265183540895
150,3,0.7065957203714888
150,4,0.7088644784304764
150,5,0.7068079063770055
200,1,0.7073023438010054
200,2,0.7061550263600307
200,3,0.7060570943574844
200,4,0.7077545824016191
200,5,0.7068731943787031
